,,,,,,Team Totals,,,,,,,,,,,,,,,,,,Team Shooting,,,,,
Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
2002-03,TOR,82,24,58,0.293,19805,2847,6664,2438,5471,409,1193,1350,1879,1023,2355,3378,1583,609,392,1181,1761,7453,0.427,0.446,0.343,0.718,0.497,0.458
2002-03,UTA,82,47,35,0.573,19780,2894,6189,2670,5548,224,641,1750,2349,1021,2381,3402,2103,708,467,1374,1837,7762,0.468,0.481,0.349,0.745,0.537,0.486
2002-03,WAS,82,37,45,0.451,19830,2816,6394,2563,5583,253,811,1617,2077,917,2395,3312,1612,621,390,1095,1644,7502,0.44,0.459,0.312,0.779,0.513,0.46
2003-04,ATL,82,28,54,0.341,19905,2829,6529,2410,5280,419,1249,1534,1976,996,2507,3503,1648,627,408,1350,1826,7611,0.433,0.456,0.335,0.776,0.514,0.465
2003-04,BOS,82,36,46,0.439,19705,2843,6415,2290,4816,553,1599,1572,2095,851,2440,3291,1683,770,331,1332,1837,7811,0.443,0.475,0.346,0.75,0.532,0.486
2003-04,CHI,82,23,59,0.28,19830,2798,6753,2369,5497,429,1256,1330,1834,1048,2519,3567,1793,659,396,1321,1911,7355,0.414,0.431,0.342,0.725,0.486,0.446
2003-04,CLE,82,35,47,0.427,19855,2922,6753,2675,5967,247,786,1528,2030,1118,2619,3737,1808,585,537,1216,1743,7619,0.433,0.448,0.314,0.753,0.498,0.451
2003-04,DAL,82,52,30,0.634,19805,3322,7230,2815,5774,507,1456,1475,1854,1174,2538,3712,1963,656,437,1000,1609,8626,0.459,0.488,0.348,0.796,0.536,0.495
2003-04,DEN,82,43,39,0.524,19730,2993,6763,2662,5778,331,985,1655,2159,1083,2387,3470,1794,745,520,1278,1804,7972,0.443,0.461,0.336,0.767,0.517,0.467
2003-04,DET,82,54,28,0.659,19780,2747,6314,2414,5346,333,968,1561,2074,1014,2492,3506,1702,659,570,1241,1664,7388,0.435,0.452,0.344,0.753,0.511,0.461
2003-04,GSW,82,37,45,0.451,19855,2875,6511,2446,5228,429,1283,1470,2028,1002,2533,3535,1681,576,389,1211,1691,7649,0.442,0.468,0.334,0.725,0.517,0.475
2003-04,HOU,82,45,37,0.549,19930,2738,6195,2223,4789,515,1406,1371,1774,847,2647,3494,1579,560,443,1373,1762,7362,0.442,0.464,0.366,0.773,0.528,0.484
2003-04,IND,82,61,21,0.744,19805,2753,6322,2304,5041,449,1281,1538,2014,965,2452,3417,1774,726,411,1182,1709,7493,0.435,0.457,0.351,0.764,0.52,0.471
2003-04,LAC,82,28,54,0.341,19805,2817,6579,2488,5555,329,1024,1808,2302,1149,2416,3565,1653,594,376,1344,1816,7771,0.428,0.448,0.321,0.785,0.512,0.453
2003-04,LAL,82,56,26,0.683,19855,3028,6676,2663,5561,365,1115,1631,2352,1001,2535,3536,1948,682,379,1132,1732,8052,0.454,0.479,0.327,0.693,0.522,0.481
2003-04,MEM,82,50,32,0.61,19880,2963,6657,2516,5343,447,1314,1557,2143,1047,2381,3428,1915,795,565,1226,1903,7930,0.445,0.471,0.34,0.727,0.522,0.479
2003-04,MIA,82,42,40,0.512,19755,2729,6417,2244,5060,485,1357,1459,1915,940,2459,3399,1565,590,313,1137,1812,7402,0.425,0.443,0.357,0.762,0.51,0.463
2003-04,MIL,82,41,41,0.5,19780,2970,6650,2569,5505,401,1145,1698,2192,960,2502,3462,1872,554,383,1110,1668,8039,0.447,0.467,0.35,0.775,0.528,0.477
2003-04,MIN,82,58,24,0.707,19755,3033,6571,2707,5674,326,897,1361,1743,875,2645,3520,1890,561,462,1043,1731,7753,0.462,0.477,0.363,0.781,0.528,0.486
2003-04,NJN,82,47,35,0.573,19705,2813,6372,2436,5249,377,1123,1398,1856,862,2473,3335,2009,709,322,1209,1722,7401,0.441,0.464,0.336,0.753,0.515,0.471
