,,,,,,,,,Goals,,,,,,,,,,,,,,,,,,
Season,Team,GP,W,L,T,OTL,PTS,G,PPG,SHG,SOG,PIM,GA,PPGA,SHGA,SA,OppPIM,PP%,PK%,PPO,PKO,GDiff,FOW,FOL,FO%,HIT,BL
2017-18,VAN,82,31,40,,11,73,218,53,7,2464,712,264,60,10,2641,659,21.5,78.3,247,276,-46,2427,2474,49.5,1745,1152
2017-18,VEG,82,51,24,,7,109,272,53,8,2686,560,228,44,5,2521,616,21.4,81.4,248,237,44,2439,2548,48.9,1767,1179
2017-18,WPG,82,52,20,,10,114,277,64,9,2643,697,218,50,7,2613,702,23.4,81.8,274,274,59,2649,2406,52.4,1831,1240
2017-18,WSH,82,49,26,,7,105,259,55,4,2379,800,239,53,8,2613,753,22.5,80.3,244,269,20,2467,2427,50.4,1784,1220
2018-19,ANA,82,35,37,,10,80,199,36,5,2271,736,251,55,10,2725,590,17,79.7,212,271,-52,2394,2268,51.4,1900,1196
2018-19,BOS,82,49,24,,9,107,259,65,7,2680,797,215,49,15,2416,814,25.9,79.9,251,244,44,2454,2385,50.7,1876,1050
2018-19,BUF,82,33,39,,10,76,226,46,3,2697,570,271,41,9,2704,618,19.5,80.9,236,215,-45,2334,2538,47.9,1565,1003
2018-19,CAR,82,46,29,,7,99,245,44,8,2822,618,223,44,8,2343,710,17.8,81.6,247,239,22,2436,2532,49,2073,1044
2018-19,CBJ,82,47,31,,4,98,258,34,8,2592,512,232,30,6,2418,556,15.4,85,221,200,26,2434,2410,50.2,1741,1076
2018-19,CGY,82,50,25,,7,107,289,53,18,2656,695,227,50,7,2302,805,19.3,79.7,275,246,62,2490,2265,52.4,1233,1033
2018-19,CHI,82,36,34,,12,84,270,48,6,2669,600,292,63,7,2852,583,20.2,72.7,238,231,-22,2356,2404,49.5,1350,1115
2018-19,COL,82,38,30,,14,90,260,63,9,2676,772,246,58,5,2619,785,22,78.7,286,272,14,2346,2529,48.1,1699,1324
2018-19,DAL,82,43,32,,7,93,210,45,4,2519,631,202,41,2,2591,602,21,82.8,214,238,8,2529,2346,51.9,1820,1291
2018-19,DET,82,32,40,,10,74,227,39,7,2394,649,277,56,7,2761,595,18.1,77.1,216,245,-50,2568,2490,50.8,1749,1103
2018-19,EDM,82,35,38,,9,79,232,47,10,2392,754,274,62,7,2599,631,21.2,74.8,222,246,-42,2327,2483,48.4,2192,1174
2018-19,FLA,82,36,32,,14,86,267,72,3,2705,688,280,43,13,2516,754,26.8,81.3,269,230,-13,2527,2545,49.8,1901,1138
2018-19,LAK,82,31,42,,9,71,202,35,4,2358,663,263,54,13,2578,655,15.8,76.5,221,230,-61,2410,2366,50.5,1907,1170
2018-19,MIN,82,37,36,,9,83,211,49,5,2567,656,237,44,4,2419,700,20.3,81.7,241,240,-26,2404,2465,49.4,1602,1221
2018-19,MTL,82,44,30,,8,96,249,31,5,2796,682,236,46,4,2548,677,13.2,80.9,234,241,13,2437,2495,49.4,2203,1170
2018-19,NJD,82,31,41,,10,72,222,45,10,2488,745,275,40,10,2592,738,17.7,84.3,254,255,-53,2418,2482,49.3,1924,1158
2018-19,NSH,82,47,29,,6,100,240,33,8,2677,686,214,45,8,2460,768,12.9,82.1,255,251,26,2537,2385,51.5,1492,1079
2018-19,NYI,82,48,27,,7,103,228,33,6,2360,644,196,44,1,2534,633,14.5,79.9,227,219,32,2124,2353,47.4,2031,1295
2018-19,NYR,82,32,36,,14,78,227,44,7,2393,854,272,58,4,2774,693,19.4,78.2,227,266,-45,2187,2475,46.9,2128,1213
2018-19,OTT,82,29,47,,6,64,242,46,4,2429,693,302,45,8,2931,682,20.4,79.2,226,216,-60,2387,2428,49.6,1782,1381
2018-19,PHI,82,37,37,,8,82,244,40,4,2583,731,281,51,11,2665,681,17.1,78.5,234,237,-37,2637,2180,54.7,1755,1277
2018-19,ARI,82,39,35,,8,86,213,42,16,2522,579,223,34,9,2526,674,16.3,85,258,226,-10,2307,2511,47.9,2028,1298
2018-19,PIT,82,44,26,,12,100,273,56,12,2731,685,241,45,15,2729,652,24.6,79.7,228,222,32,2482,2425,50.6,2363,1229
2018-19,SJS,82,46,27,,9,101,289,57,9,2708,749,261,45,9,2323,771,23.7,80.8,241,234,28,2376,2346,50.3,1574,1077
2018-19,STL,82,45,28,,9,99,247,50,5,2604,623,223,43,7,2345,676,21.1,81.5,237,232,24,2450,2317,51.4,1615,1138
2018-19,TBL,82,62,16,,4,128,325,74,12,2620,779,222,40,3,2633,773,28.2,85,262,267,103,2520,2401,51.2,2116,1125
2018-19,TOR,82,46,28,,8,100,286,46,5,2736,503,251,41,9,2717,549,21.8,79.9,211,204,35,2629,2330,53,1421,1113
2018-19,VAN,82,35,36,,11,81,225,43,7,2433,721,254,48,8,2597,716,17.1,81.1,251,254,-29,2404,2453,49.5,1799,1233
2018-19,VEG,82,43,32,,7,93,249,39,11,2814,583,230,44,2,2399,589,16.8,80.9,232,230,19,2480,2441,50.4,2268,1118
2018-19,WPG,82,47,30,,5,99,272,62,10,2557,759,244,52,7,2741,711,24.8,79.2,250,250,28,2463,2396,50.7,1841,1187
2018-19,WSH,82,48,26,,8,104,278,49,5,2492,730,249,55,5,2584,706,20.8,78.9,236,261,29,2160,2563,45.7,1885,1234
